date,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS2M
2020-01-01,1.867,9.96,76.92,2.9
2020-01-02,2.8478,10.59,86.79,2.69
2020-01-03,2.8622,9.89,88.67,1.98
2020-01-04,1.1796,12.18,81.78,4.2
2020-01-05,1.8739,12.76,79.54,4.59
2020-01-06,2.803,11.27,71.21,2.71
2020-01-07,2.8519,11.0,82.04,3.14
2020-01-08,0.8585,12.15,88.66,2.4
2020-01-09,2.2351,11.05,86.54,2.06
2020-01-10,1.9044,10.25,86.41,2.08
2020-01-11,2.1514,10.82,83.18,1.87
2020-01-12,2.22,11.36,82.8,1.64
2020-01-13,2.0945,10.56,81.97,2.04
2020-01-14,2.9976,10.26,80.24,1.44
2020-01-15,3.0559,9.43,82.26,1.95
2020-01-16,3.0478,9.6,77.71,1.11
2020-01-17,2.8762,9.59,81.72,1.87
2020-01-18,2.9659,11.79,80.07,3.88
2020-01-19,3.1426,10.58,75.7,3.59
2020-01-20,1.9968,12.56,80.7,5.61
2020-01-21,2.4658,14.87,78.04,8.04
2020-01-22,2.4859,13.92,79.5,5.96
2020-01-23,2.8543,13.06,86.58,4.42
2020-01-24,2.4108,12.98,82.5,2.44
2020-01-25,2.6342,11.47,80.32,1.45
2020-01-26,2.4348,10.65,80.38,3.28
2020-01-27,3.0286,11.83,89.85,3.05
2020-01-28,2.9021,11.02,80.04,3.01
2020-01-29,3.3922,13.8,83.39,4.5
2020-01-30,3.1627,13.53,87.83,2.05
2020-01-31,2.6856,12.85,83.64,1.88
2020-02-01,3.0996,13.1,87.51,2.95
2020-02-02,3.2045,13.87,88.53,4.35
2020-02-03,3.4908,15.26,81.34,5.91
2020-02-04,3.6593,15.03,75.32,6.99
2020-02-05,3.6552,12.58,58.9,7.64
2020-02-06,2.7914,10.95,56.43,5.28
2020-02-07,4.0802,10.19,62.87,1.68
2020-02-08,3.8878,10.7,73.35,2.24
2020-02-09,3.8734,12.42,66.86,1.52
2020-02-10,3.9216,12.52,74.97,2.81
2020-02-11,4.1203,13.59,74.97,4.3
2020-02-12,4.039,14.08,82.46,2.94
2020-02-13,3.4097,14.32,74.27,1.29
2020-02-14,3.4471,13.87,85.56,4.86
2020-02-15,3.6744,12.4,74.12,2.47
2020-02-16,4.4129,11.1,74.48,1.49
2020-02-17,4.3063,10.4,76.11,2.47
2020-02-18,3.624,11.72,83.11,3.86
2020-02-19,3.9454,12.26,72.62,5.74
2020-02-20,3.8282,12.78,74.78,4.25
2020-02-21,4.4969,12.13,81.26,3.2
2020-02-22,3.497,12.98,78.81,3.48
2020-02-23,4.487,12.78,79.64,1.93
2020-02-24,4.8686,12.71,81.53,4.0
2020-02-25,4.734,13.56,68.54,2.34
2020-02-26,3.5861,13.95,77.13,4.17
2020-02-27,3.7678,12.62,68.45,3.64
2020-02-28,4.475,13.36,76.79,4.05
2020-02-29,4.6303,15.04,68.65,2.18
2020-03-01,4.8535,14.98,65.79,2.62
2020-03-02,4.0282,16.07,74.27,3.75
2020-03-03,4.2893,13.24,70.7,5.34
2020-03-04,3.9866,13.4,70.99,7.93
2020-03-05,4.8432,14.93,78.15,2.26
2020-03-06,3.8424,14.9,74.51,4.44
2020-03-07,3.7241,11.78,77.44,6.0
2020-03-08,3.8755,12.18,74.12,5.13
2020-03-09,3.737,11.72,81.4,4.13
2020-03-10,3.4728,12.46,75.6,4.87
2020-03-11,2.6986,13.14,82.25,3.4
2020-03-12,5.5428,13.97,74.91,1.7
2020-03-13,5.4317,16.38,68.18,1.96
2020-03-14,4.913,15.12,77.92,3.66
2020-03-15,5.1523,13.86,81.4,2.97
2020-03-16,4.7477,14.4,80.75,4.23
2020-03-17,3.8215,14.14,84.14,4.5
2020-03-18,2.4617,13.36,75.62,3.15
2020-03-19,3.4582,13.22,75.05,3.28
2020-03-20,4.7954,14.51,77.23,5.1
2020-03-21,1.2691,14.3,84.96,5.24
2020-03-22,2.7185,14.09,83.1,3.0
2020-03-23,4.6186,13.63,82.81,2.46
2020-03-24,3.4109,12.18,80.01,4.03
2020-03-25,2.081,9.3,81.31,6.29
2020-03-26,4.9721,9.91,64.77,4.85
2020-03-27,4.8403,10.66,76.33,3.77
2020-03-28,4.9049,12.06,76.33,2.46
2020-03-29,1.8346,11.39,81.78,1.33
2020-03-30,4.7962,12.16,83.47,3.11
2020-03-31,5.2207,14.5,73.26,1.27
2020-04-01,4.3248,13.15,79.87,3.29
2020-04-02,4.3978,12.87,87.53,2.27
2020-04-03,2.526,12.28,91.2,2.36
2020-04-04,5.7187,13.12,76.87,3.57
2020-04-05,5.6244,13.2,74.49,2.79
2020-04-06,5.8342,13.33,72.32,1.81
2020-04-07,5.7631,13.97,77.08,1.95
2020-04-08,5.785,14.29,75.99,1.46
2020-04-09,6.0684,14.29,72.96,1.93
2020-04-10,6.0091,15.29,74.71,2.89
2020-04-11,5.5975,15.83,71.46,1.73
2020-04-12,6.3324,15.96,64.18,2.44
2020-04-13,5.3095,16.52,67.89,5.66
2020-04-14,5.681,17.06,79.69,3.52
2020-04-15,5.0705,17.46,75.16,3.18
2020-04-16,5.1362,18.79,76.06,2.67
2020-04-17,5.8882,21.0,72.82,2.5
2020-04-18,5.1998,20.12,79.99,2.0
2020-04-19,4.4616,19.39,75.78,3.44
2020-04-20,3.3413,18.32,81.95,4.71
2020-04-21,5.023,17.5,75.67,6.67
2020-04-22,3.2623,15.83,82.42,1.83
2020-04-23,6.0307,16.15,77.01,2.68
2020-04-24,4.3608,15.78,80.27,1.52
2020-04-25,4.4659,17.97,77.11,2.37
2020-04-26,4.4369,18.87,74.05,0.87
2020-04-27,5.1557,18.13,79.97,1.87
2020-04-28,5.5752,17.54,81.76,3.24
2020-04-29,3.7106,16.97,76.65,2.93
2020-04-30,7.0733,17.39,70.56,3.33
2020-05-01,7.5146,18.35,66.91,3.61
2020-05-02,7.0807,19.19,69.34,4.57
2020-05-03,7.5276,19.57,73.33,4.9
2020-05-04,7.7234,19.47,73.44,2.76
2020-05-05,7.0366,22.62,69.05,2.14
2020-05-06,7.3524,22.5,67.14,3.82
2020-05-07,7.0085,20.04,77.67,3.38
2020-05-08,6.845,20.01,72.02,5.48
2020-05-09,5.1382,21.22,70.21,4.41
2020-05-10,6.4164,21.69,72.24,4.12
2020-05-11,7.2799,20.09,65.32,3.43
2020-05-12,7.6526,22.06,56.27,4.05
2020-05-13,3.3202,23.04,62.91,3.04
2020-05-14,5.2846,23.55,62.56,4.24
2020-05-15,5.1746,19.57,68.06,2.24
2020-05-16,4.051,21.45,75.52,2.08
2020-05-17,3.4174,20.62,78.05,4.21
2020-05-18,6.3583,19.5,77.03,5.59
2020-05-19,5.7701,18.69,74.28,5.82
2020-05-20,7.2934,20.48,68.69,5.63
2020-05-21,6.8522,20.44,72.89,4.93
2020-05-22,7.9896,20.55,66.36,2.23
2020-05-23,7.7496,21.35,56.64,1.77
2020-05-24,8.1571,22.92,53.13,1.91
2020-05-25,7.0752,20.69,70.83,2.72
2020-05-26,7.1544,20.02,74.19,2.82
2020-05-27,6.8155,20.65,65.88,3.11
2020-05-28,7.9762,19.78,59.0,2.83
2020-05-29,7.3879,21.15,67.94,3.94
2020-05-30,6.5602,21.32,72.77,2.57
2020-05-31,7.571,20.2,71.55,2.44
2020-06-01,6.7982,20.74,62.21,2.67
2020-06-02,7.3032,21.46,63.14,1.94
2020-06-03,7.4381,22.39,57.85,2.16
